Date,Adj Close,Close,High,Low,Open,Volume
,^HSI,^HSI,^HSI,^HSI,^HSI,^HSI
2021-01-04,27472.810546875,27472.810546875,27502.830078125,27079.240234375,27087.130859375,2870443300
2021-01-05,27649.859375,27649.859375,27690.2109375,27150.380859375,27281.33984375,3282490100
2021-01-06,27692.30078125,27692.30078125,27756.4296875,27389.779296875,27613.33984375,3079382600
2021-01-07,27548.51953125,27548.51953125,27752.359375,27457.470703125,27715.939453125,3775142800
2021-01-08,27878.220703125,27878.220703125,27920.76953125,27538.19921875,27630.029296875,5667284000
2021-01-11,27908.220703125,27908.220703125,28176.650390625,27794.810546875,28003.98046875,4366094600
2021-01-12,28276.75,28276.75,28276.75,27781.419921875,27894.2890625,3399606200
2021-01-13,28235.599609375,28235.599609375,28414.5390625,28136.640625,28309.3203125,3559366600
2021-01-14,28496.859375,28496.859375,28510.919921875,28280.08984375,28408.119140625,3205592600
2021-01-15,28573.859375,28573.859375,28667.58984375,28294.66015625,28394.369140625,4485371800
2021-01-18,28862.76953125,28862.76953125,28864.25,28390.2890625,28454.58984375,2956444000
2021-01-19,29642.279296875,29642.279296875,29848.4296875,29100.169921875,29100.169921875,4568245300
2021-01-20,29962.470703125,29962.470703125,29993.470703125,29676.5390625,29794.41015625,3937834200
2021-01-21,29927.759765625,29927.759765625,30135.5,29745.869140625,29951.779296875,3004888900
2021-01-22,29447.849609375,29447.849609375,29862.890625,29413.51953125,29809.23046875,3381738600
2021-01-25,30159.009765625,30159.009765625,30191.16015625,29673.259765625,29677.30078125,3066515300
2021-01-26,29391.259765625,29391.259765625,29965.109375,29345.740234375,29892.849609375,4810723600
2021-01-27,29297.529296875,29297.529296875,29636.630859375,29194.369140625,29556.580078125,3808971800
2021-01-28,28550.76953125,28550.76953125,29191.6796875,28467.009765625,28914.849609375,2993470100
2021-01-29,28283.7109375,28283.7109375,28972.060546875,28259.73046875,28826.1796875,3196757600
2021-02-01,28892.859375,28892.859375,28982.76953125,28382.259765625,28457.849609375,2464276400
2021-02-02,29248.69921875,29248.69921875,29511.0,29198.859375,29378.119140625,2739194600
2021-02-03,29307.4609375,29307.4609375,29312.0,28967.009765625,29305.41015625,2681355500
2021-02-04,29113.5,29113.5,29409.0,28775.380859375,29093.5390625,3032246200
2021-02-05,29288.6796875,29288.6796875,29495.640625,29184.08984375,29305.08984375,2675266500
2021-02-08,29319.470703125,29319.470703125,29706.080078125,29293.640625,29629.080078125,2196734100
2021-02-09,29476.189453125,29476.189453125,29527.669921875,29263.98046875,29442.5,1851043400
2021-02-10,30038.720703125,30038.720703125,30075.5,29732.23046875,29796.189453125,1998284900
2021-02-11,30173.5703125,30173.5703125,30184.169921875,29828.619140625,29995.279296875,1192111200
2021-02-16,30746.66015625,30746.66015625,30793.48046875,30497.400390625,30675.8203125,3269676200
2021-02-17,31084.939453125,31084.939453125,31168.30078125,30503.4609375,30636.369140625,3144032900
2021-02-18,30595.26953125,30595.26953125,31183.359375,30570.55078125,31183.359375,3687581000
2021-02-19,30644.73046875,30644.73046875,30720.150390625,30099.7109375,30483.4609375,3317191700
2021-02-22,30319.830078125,30319.830078125,31071.609375,30298.580078125,31071.609375,4449910100
2021-02-23,30632.640625,30632.640625,30948.470703125,30126.400390625,30189.970703125,4605710300
2021-02-24,29718.240234375,29718.240234375,30792.880859375,29532.6796875,30702.650390625,4846335300
2021-02-25,30074.169921875,30074.169921875,30453.119140625,29833.05078125,30174.220703125,3663892300
2021-02-26,28980.2109375,28980.2109375,29579.669921875,28980.2109375,29412.130859375,4126393200
2021-03-01,29452.5703125,29452.5703125,29550.75,29195.970703125,29457.890625,2629062100
2021-03-02,29095.859375,29095.859375,29765.9609375,28957.310546875,29708.390625,2895849600
2021-03-03,29880.419921875,29880.419921875,29912.0,29183.58984375,29249.4296875,3228618000
